Date,StockCode,Close
2024-03-21,PNLF,248.0
2024-03-21,PNSE,450.0
2024-03-21,POLA,50.0
2024-03-21,POLI,730.0
2024-03-21,POLL,141.0
2024-03-21,POLU,306.0
2024-03-21,POLY,50.0
2024-03-21,POOL,50.0
2024-03-21,PORT,755.0
2024-03-21,POSA,50.0
2024-03-21,POWR,690.0
2024-03-21,PPGL,91.0
2024-03-21,PPRE,88.0
2024-03-21,PPRI,74.0
2024-03-21,PPRO,50.0
2024-03-21,PRAS,97.0
2024-03-21,PRAY,680.0
2024-03-21,PRDA,4100.0
2024-03-21,PRIM,81.0
2024-03-21,PSAB,202.0
2024-03-21,PSDN,106.0
2024-03-21,PSGO,155.0
2024-03-21,PSKT,50.0
2024-03-21,PSSI,505.0
2024-03-21,PTBA,2950.0
2024-03-21,PTDU,50.0
2024-03-21,PTIS,230.0
2024-03-21,PTMP,222.0
2024-03-21,PTPP,540.0
2024-03-21,PTPS,200.0
2024-03-21,PTPW,930.0
2024-03-21,PTRO,4410.0
2024-03-21,PTSN,250.0
2024-03-21,PTSP,1270.0
2024-03-21,PUDP,550.0
2024-03-21,PURA,50.0
2024-03-21,PURE,51.0
2024-03-21,PURI,163.0
2024-03-21,PWON,408.0
2024-03-21,PYFA,655.0
2024-03-21,PZZA,300.0
2024-03-21,RAAM,494.0
2024-03-21,RAFI,50.0
2024-03-21,RAJA,1330.0
2024-03-21,RALS,482.0
2024-03-21,RANC,620.0
2024-03-21,RBMS,50.0
2024-03-21,RCCC,171.0
2024-03-21,RDTX,14350.0
2024-03-21,REAL,7.0
2024-03-21,RELF,19.0
2024-03-21,RELI,462.0
2024-03-21,RGAS,74.0
2024-03-21,RICY,96.0
2024-03-21,RIGS,505.0
2024-03-21,RIMO,50.0
2024-03-21,RISE,985.0
2024-03-21,RMKE,494.0
2024-03-21,RMKO,216.0
2024-03-21,ROCK,354.0
2024-03-21,RODA,50.0
2024-03-21,RONY,288.0
2024-03-21,ROTI,1175.0
2024-03-21,RSCH,234.0
2024-03-21,RSGK,1200.0
2024-03-21,RUIS,189.0
2024-03-21,RUNS,60.0
2024-03-21,SAFE,234.0
2024-03-21,SAGE,50.0
2024-03-21,SAME,270.0
2024-03-21,SAMF,755.0
2024-03-21,SAPX,735.0
2024-03-21,SATU,140.0
2024-03-21,SBAT,2.0
2024-03-21,SBMA,159.0
2024-03-21,SCCO,2110.0
2024-03-21,SCMA,149.0
2024-03-21,SCNP,133.0
2024-03-21,SCPI,29000.0
2024-03-21,SDMU,50.0
2024-03-21,SDPC,146.0
2024-03-21,SDRA,565.0
2024-03-21,SEMA,140.0
2024-03-21,SFAN,1795.0
2024-03-21,SGER,2140.0
2024-03-21,SGRO,1990.0
2024-03-21,SHID,1355.0
2024-03-21,SHIP,1035.0
2024-03-21,SICO,100.0
2024-03-21,SIDO,635.0
2024-03-21,SILO,2250.0
2024-03-21,SIMA,50.0
2024-03-21,SIMP,382.0
2024-03-21,SINI,795.0
2024-03-21,SIPD,950.0
2024-03-21,SKBM,278.0
2024-03-21,SKLT,181.0
2024-03-21,SKRN,498.0
2024-03-21,SKYB,51.0
2024-03-21,SLIS,51.0
2024-03-21,SMAR,3810.0
2024-03-21,SMBR,268.0
2024-03-21,SMCB,1320.0
2024-03-21,SMDM,183.0
2024-03-21,SMDR,312.0
2024-03-21,SMGA,92.0
2024-03-21,SMGR,5750.0
2024-03-21,SMIL,158.0
2024-03-21,SMKL,192.0
2024-03-21,SMKM,50.0
2024-03-21,SMLE,144.0
2024-03-21,SMMA,14600.0
2024-03-21,SMMT,745.0
2024-03-21,SMRA,525.0
2024-03-21,SMRU,50.0
2024-03-21,SMSM,1885.0
2024-03-21,SNLK,510.0
2024-03-21,SOCI,168.0
2024-03-21,SOFA,16.0
2024-03-21,SOHO,496.0
2024-03-21,SONA,1360.0
2024-03-21,SOSS,464.0
2024-03-21,SOTS,192.0
2024-03-21,SOUL,22.0
2024-03-21,SPMA,348.0
2024-03-21,SPTO,545.0
2024-03-21,SQMI,51.0
2024-03-21,SRAJ,1715.0
2024-03-21,SRIL,146.0
2024-03-21,SRSN,60.0
2024-03-21,SRTG,1460.0
2024-03-21,SSIA,930.0
2024-03-21,SSMS,1070.0
2024-03-21,SSTM,498.0
2024-03-21,STAA,810.0
2024-03-21,STAR,79.0
2024-03-21,STRK,50.0
