tanggal,harga
2023-10-24,5.750
2023-10-25,5.850
2023-10-26,5.700
2023-10-27,5.700
2023-10-30,5.725
2023-10-31,5.675
2023-11-01,5.650
2023-11-02,5.900
2023-11-03,5.825
2023-11-06,5.925
2023-11-07,5.875
2023-11-08,5.850
2023-11-09,5.875
2023-11-10,5.775
2023-11-13,5.825
2023-11-14,5.825
2023-11-15,5.925
2023-11-16,5.925
2023-11-17,5.900
2023-11-20,5.875
2023-11-21,5.875
2023-11-22,5.875
2023-11-23,5.900
2023-11-24,5.875
2023-11-27,5.900
2023-11-28,5.900
2023-11-29,5.850
2023-11-30,5.850
2023-12-01,5.900
2023-12-04,6.000
2023-12-05,5.975
2023-12-06,5.800
2023-12-07,5.750
2023-12-08,5.700
2023-12-11,5.775
2023-12-12,5.800
2023-12-13,5.725
2023-12-14,5.950
2023-12-15,5.900
2023-12-18,5.925
2023-12-19,5.975
2023-12-20,5.925
2023-12-21,5.975
2023-12-22,5.975
2023-12-26,unk
2023-12-27,6.000
2023-12-28,6.125
2023-12-29,6.050
2024-01-02,6.125
2024-01-03,6.100
2024-01-04,6.350
2024-01-05,6.425
2024-01-08,6.400
2024-01-09,6.375
2024-01-10,6.425
2024-01-11,6.450
2024-01-12,6.575
2024-01-15,6.500
2024-01-16,6.525
2024-01-17,6.525
2024-01-18,6.525
2024-01-19,6.525
2024-01-22,6.500
2024-01-23,6.500
2024-01-24,6.400
2024-01-25,6.275
2024-01-26,6.300
2024-01-29,6.475
2024-01-30,6.650
2024-01-31,6.650
2024-02-01,6.550
2024-02-02,6.675
2024-02-05,6.825
2024-02-06,6.850
2024-02-07,6.950
2024-02-09,unk
2024-02-12,7.100
2024-02-13,7.025
2024-02-14,unk
2024-02-15,7.200
2024-02-16,7.200
2024-02-19,7.150
2024-02-20,7.150
2024-02-21,7.250
2024-02-22,7.100
2024-02-23,7.050
